label,strategy,chunking,embedding,k,filter,recall,strict_recall,doc_accuracy,mrr,ndcg,evidence_coverage,ms_per_query
filter@k=20,dense,token 512/64,bge-base-en-v1.5,20,yes,0.7066666666666667,0.5066666666666667,0.9866666666666667,0.30671843146533545,0.5326346870885387,0.48945064741379213,56.7
filter@k=10,dense,token 512/64,bge-base-en-v1.5,10,yes,0.6266666666666667,0.4066666666666667,0.98,0.3014153439153439,0.4710066141966525,0.395092818825614,36.7
k=20,dense,token 512/64,bge-base-en-v1.5,20,,0.5866666666666667,0.4266666666666667,0.98,0.2041487857114792,0.35166187502836044,0.41253119973187985,12.8
filter+rerank:pool=100@k=10,rerank,token 512/64,bge-base-en-v1.5,10,yes,0.5466666666666666,0.3933333333333333,0.9733333333333334,0.2899391534391535,0.41894562252050643,0.39843728562696923,239.8
k=10,dense,token 512/64,bge-base-en-v1.5,10,,0.5,0.3333333333333333,0.9466666666666667,0.19813227513227513,0.30265569498401884,0.3296026577698235,8.4
filter@k=5,dense,token 512/64,bge-base-en-v1.5,5,yes,0.49333333333333335,0.3,0.92,0.28355555555555556,0.39227807460138153,0.2938278665510979,25.4
rerank:pool=100@k=20,rerank,token 512/64,bge-base-en-v1.5,20,,0.49333333333333335,0.4,0.9466666666666667,0.19887619134677958,0.3206483069123714,0.39102866090087757,243.9
embed:e5-large-v2,dense,token 512/64,e5-large-v2,5,,0.4533333333333333,0.32666666666666666,0.94,0.31566666666666665,0.38487770146142597,0.3316448358053586,6.7
rerank:pool=20@k=10,rerank,token 512/64,bge-base-en-v1.5,10,,0.44666666666666666,0.34,0.9133333333333333,0.20294444444444443,0.2922281249698005,0.32746176207149347,178.1
rerank:pool=50@k=10,rerank,token 512/64,bge-base-en-v1.5,10,,0.42,0.32666666666666666,0.88,0.20806349206349203,0.29030209693339004,0.32017490702704277,221.4
embed:bge-large-en-v1.5,dense,token 512/64,bge-large-en-v1.5,5,,0.41333333333333333,0.30666666666666664,0.8733333333333333,0.24611111111111114,0.2979512318787749,0.2868518095573719,6.5
embed:e5-base-v2,dense,token 512/64,e5-base-v2,5,,0.38666666666666666,0.2733333333333333,0.9266666666666666,0.23711111111111108,0.28290347689909734,0.27805731446780035,5.8
rerank:pool=100@k=10,rerank,token 512/64,bge-base-en-v1.5,10,,0.38,0.3333333333333333,0.8933333333333333,0.1908862433862434,0.26832658555882244,0.3176429991084773,228.4
chunk256/ov10%,dense,token 256/25,bge-base-en-v1.5,5,,0.37333333333333335,0.14666666666666667,0.7866666666666666,0.22599999999999998,0.3119765434254853,0.20969112144528376,7.9
struct:page,dense,page 512/64,bge-base-en-v1.5,5,,0.36666666666666664,0.32,0.8333333333333334,0.21955555555555553,0.24142529039490668,0.29170317230280296,6.2
chunk512/ov10%,dense,token 512/51,bge-base-en-v1.5,5,,0.36666666666666664,0.23333333333333334,0.8266666666666667,0.20311111111111113,0.24936830894843495,0.24822258512789355,5.9
chunk128/ov10%,dense,token 128/12,bge-base-en-v1.5,5,,0.36,0.09333333333333334,0.8133333333333334,0.2247777777777778,0.3120223506895754,0.14632540317510784,12.8
chunk1024/ov10%,dense,token 1024/102,bge-base-en-v1.5,5,,0.35333333333333333,0.24666666666666667,0.8333333333333334,0.20688888888888887,0.23878143561227305,0.2588949236271545,7.4
struct:structural,dense,structural 512/64,bge-base-en-v1.5,5,,0.3466666666666667,0.28,0.8266666666666667,0.22311111111111107,0.24119738555522158,0.2710103307785586,6.2
chunk256/ov50%,dense,token 256/128,bge-base-en-v1.5,5,,0.3466666666666667,0.17333333333333334,0.8,0.2497777777777778,0.3399757316357968,0.21761134244454097,11.7
struct:token,dense,token 512/64,bge-base-en-v1.5,5,,0.3333333333333333,0.24,0.8266666666666667,0.1768888888888889,0.22803137045393518,0.23464629652872232,5.7
chunk256/ov0%,dense,token 256/0,bge-base-en-v1.5,5,,0.32666666666666666,0.14666666666666667,0.7866666666666666,0.19455555555555556,0.2582300550305467,0.19780730367299448,6.8
chunk128/ov50%,dense,token 128/64,bge-base-en-v1.5,5,,0.32666666666666666,0.06666666666666667,0.8,0.21088888888888888,0.30585648092594603,0.11463022709555233,20.8
hybrid:a=0.7@k=10,hybrid,token 512/64,bge-base-en-v1.5,10,,0.32,0.23333333333333334,0.88,0.15175396825396825,0.22509517506700413,0.239570983048422,340.9
chunk1024/ov50%,dense,token 1024/512,bge-base-en-v1.5,5,,0.32,0.26,0.8,0.1837777777777778,0.21919063012200923,0.2612101287700074,8.8
chunk512/ov25%,dense,token 512/128,bge-base-en-v1.5,5,,0.32,0.21333333333333335,0.8,0.2171111111111111,0.2746922779268607,0.22550258927308647,6.2
chunk128/ov25%,dense,token 128/32,bge-base-en-v1.5,5,,0.32,0.08,0.82,0.20277777777777778,0.2814524085033431,0.1230080181616771,14.5
embed:gte-base,dense,token 512/64,gte-base,5,,0.31333333333333335,0.25333333333333335,0.82,0.16877777777777778,0.21858431411467522,0.244114016792369,6.0
chunk256/ov25%,dense,token 256/64,bge-base-en-v1.5,5,,0.31333333333333335,0.16,0.7933333333333333,0.20955555555555552,0.2844228706346218,0.1911749328905842,8.4
chunk1024/ov0%,dense,token 1024/0,bge-base-en-v1.5,5,,0.30666666666666664,0.24666666666666667,0.8533333333333334,0.181,0.19873633112393788,0.257002201144106,7.2
chunk512/ov0%,dense,token 512/0,bge-base-en-v1.5,5,,0.30666666666666664,0.21333333333333335,0.8066666666666666,0.17322222222222222,0.2008240949648406,0.22322521134434273,5.6
chunk128/ov0%,dense,token 128/0,bge-base-en-v1.5,5,,0.30666666666666664,0.05333333333333334,0.78,0.2141111111111111,0.2790901175465933,0.11225697214860711,12.2
chunk512/ov50%,dense,token 512/256,bge-base-en-v1.5,5,,0.3,0.22666666666666666,0.8266666666666667,0.1778888888888889,0.23955885348049336,0.21793889327683133,8.6
chunk1024/ov25%,dense,token 1024/256,bge-base-en-v1.5,5,,0.29333333333333333,0.26,0.8,0.19144444444444444,0.2187319061188988,0.2620020448681642,7.9
hybrid:a=0.5@k=10,hybrid,token 512/64,bge-base-en-v1.5,10,,0.25333333333333335,0.18666666666666668,0.8533333333333334,0.13874867724867726,0.20339023798676265,0.1969826849162325,340.0
embed:all-MiniLM-L6-v2,dense,token 512/64,all-MiniLM-L6-v2,5,,0.25333333333333335,0.17333333333333334,0.6866666666666666,0.14400000000000002,0.18144077156655355,0.1805091848946618,4.5
k=3,dense,token 512/64,bge-base-en-v1.5,3,,0.24,0.17333333333333334,0.7266666666666667,0.15555555555555556,0.18489969852228397,0.18459988662297,4.8
hybrid:a=0.3@k=10,hybrid,token 512/64,bge-base-en-v1.5,10,,0.22666666666666666,0.17333333333333334,0.8,0.11711111111111111,0.17533265435686732,0.17521998398470756,339.4
bm25@k=10,bm25,token 512/64,bge-base-en-v1.5,10,,0.15333333333333332,0.12666666666666668,0.7133333333333334,0.09604497354497354,0.13816570637325834,0.1336888908259123,228.7
bm25@k=5,bm25,token 512/64,bge-base-en-v1.5,5,,0.12,0.10666666666666667,0.5266666666666666,0.09166666666666666,0.12434040409746629,0.10631368776755785,224.3
k=1,dense,token 512/64,bge-base-en-v1.5,1,,0.09333333333333334,0.09333333333333334,0.44,0.09333333333333334,0.09333333333333334,0.09349709617381118,3.8
