label,model,context,k,accuracy,mean_correctness,numeric,numeric_scale_tol,token_f1,abstain,cited,cite_valid,grounded,halluc,s_per_q,truncations
oracle:qwen14b,qwen2.5:14b-instruct-q4_K_M,oracle,5,0.5933333333333334,1.3666666666666667,0.4523809523809524,0.626984126984127,0.19614278471460414,0.12666666666666668,0.94,0.94,1.72,0.2,3.212883752187093,0
oracle:qwen7b,qwen2.5:7b-instruct,oracle,5,0.4266666666666667,0.9866666666666667,0.29365079365079366,0.4365079365079365,0.15207720160265553,0.34,0.6333333333333333,0.6333333333333333,1.4666666666666666,0.32,2.685090840657552,0
k20:qwen2.5:14b,qwen2.5:14b-instruct-q4_K_M,retrieved,20,0.38666666666666666,0.9333333333333333,0.31746031746031744,0.42063492063492064,0.13691561947936998,0.19333333333333333,0.6,0.26666666666666666,1.5133333333333334,0.28,17.61834988117218,0
retrieved:phi4:14b,phi4:14b,retrieved,10,0.36666666666666664,0.8733333333333333,0.30158730158730157,0.38095238095238093,0.11100215522384889,0.49333333333333335,0.66,0.31333333333333335,1.5333333333333334,0.28,5.236617692311605,0
retrieved:qwen2.5:14b-instruct-q4_K_M,qwen2.5:14b-instruct-q4_K_M,retrieved,10,0.36666666666666664,0.82,0.29365079365079366,0.38095238095238093,0.13888405988659983,0.36,0.6533333333333333,0.34,1.5866666666666667,0.2733333333333333,12.294542589187621,0
retrieved:mistral:7b-instruct,mistral:7b-instruct,retrieved,10,0.25333333333333335,0.6066666666666667,0.16666666666666666,0.2222222222222222,0.14388603126191177,0.5066666666666667,0.4666666666666667,0.17333333333333334,1.42,0.3333333333333333,2.8073902304967246,0
retrieved:qwen2.5:7b-instruct,qwen2.5:7b-instruct,retrieved,10,0.24666666666666667,0.58,0.19047619047619047,0.2619047619047619,0.11902471041898038,0.5533333333333333,0.4266666666666667,0.21333333333333335,1.6266666666666667,0.31333333333333335,2.3260103432337442,0
retrieved:llama3.1:8b-instruct-q4_K_M,llama3.1:8b-instruct-q4_K_M,retrieved,10,0.2,0.5,0.23015873015873015,0.2777777777777778,0.0760115762526083,0.46,0.66,0.32666666666666666,1.3666666666666667,0.44666666666666666,3.4195215543111166,0
closedbook:qwen7b,qwen2.5:7b-instruct,none,0,,,0.0873015873015873,0.0873015873015873,0.14875792505668373,0.0,0.0,0.0,,,1.993716770807902,0
closedbook:qwen14b,qwen2.5:14b-instruct-q4_K_M,none,0,,,0.0873015873015873,0.1111111111111111,0.13755603728701224,0.0,0.0,0.0,,,12.537614844640096,0
